transmission,mileage,tax,mpg,fuel type,engine size,price_cad,car_age
Automatic,44900.0,160.0,46.3,Petrol,1.6,18390.8,13.0
Automatic,88200.0,125.0,58.9,Diesel,2.1,12870.800000000001,14.0
Automatic,115000.0,145.0,54.3,Diesel,2.1,13790.800000000001,14.0
Automatic,69250.0,150.0,53.3,Diesel,2.1,16550.8,15.0
Automatic,49850.0,30.0,62.8,Diesel,2.1,27590.800000000003,11.0
Automatic,82685.0,30.0,64.2,Diesel,2.143,15814.800000000001,13.0
Semi-Auto,32506.0,125.0,60.1,Diesel,2.1,35420.0,10.0
Semi-Auto,17000.0,145.0,67.3,Diesel,2.1,43240.0,9.0
Semi-Auto,17744.0,150.0,64.2,Diesel,2.0,45990.8,8.0
Semi-Auto,64291.0,305.0,34.5,Petrol,4.0,55190.8,10.0
Automatic,41011.0,150.0,49.6,Petrol,1.991,33101.6,12.0
Automatic,72000.0,30.0,65.7,Diesel,1.6,26637.68,10.0
Automatic,72000.0,145.0,54.3,Diesel,2.1,20197.68,13.0
Automatic,40000.0,30.0,64.2,Diesel,1.6,33077.68,10.0
Automatic,52000.0,145.0,57.7,Diesel,2.143,23533.600000000002,11.0
Automatic,66472.0,30.0,64.2,Diesel,2.1,26657.920000000002,9.0
Manual,91000.0,125.0,60.1,Diesel,2.1,13800.0,15.0
Automatic,69700.0,145.0,53.3,Diesel,2.1,17940.0,13.0
Automatic,39000.0,30.0,64.2,Diesel,1.6,29430.800000000003,11.0
Manual,39287.0,20.0,68.9,Diesel,2.143,28842.0,10.0
Manual,40569.0,20.0,68.9,Diesel,2.143,30314.0,10.0
Manual,37419.0,125.0,51.4,Petrol,1.991,29394.0,10.0
Automatic,34452.0,30.0,64.2,Diesel,2.143,30314.0,10.0
Automatic,41567.0,0.0,76.4,Hybrid,2.143,29394.0,11.0
Automatic,41130.0,0.0,134.5,Hybrid,1.991,30350.800000000003,11.0
Automatic,37778.0,150.0,64.2,Diesel,2.143,32742.800000000003,9.0
Automatic,44325.0,30.0,64.2,Diesel,2.143,32890.0,9.0
Automatic,75000.0,30.0,64.2,Diesel,1.6,30360.0,9.0
Automatic,64000.0,30.0,64.2,Diesel,2.1,28520.0,11.0
Manual,106000.0,30.0,64.2,Diesel,2.1,13340.0,13.0
Automatic,43426.0,160.0,44.8,Petrol,1.595,20240.0,14.0
Manual,42622.0,20.0,70.6,Diesel,2.143,24472.0,10.0
Manual,34903.0,20.0,68.9,Diesel,2.143,29440.0,10.0
Automatic,35345.0,145.0,53.3,Diesel,2.143,23000.0,12.0
Manual,23146.0,115.0,52.3,Petrol,2.0,26670.800000000003,11.0
Automatic,16000.0,145.0,65.7,Diesel,2.1,45080.0,9.0
Automatic,44000.0,570.0,23.5,Petrol,6.2,44141.6,13.0
Automatic,30000.0,30.0,64.2,Diesel,2.1,31740.0,11.0
Automatic,22000.0,160.0,44.8,Petrol,1.6,26128.0,11.0
Automatic,19000.0,150.0,47.1,Petrol,2.0,42228.0,9.0
Automatic,90000.0,145.0,54.3,Diesel,2.1,19320.0,13.0
Automatic,32000.0,20.0,64.2,Diesel,2.1,28796.0,12.0
Automatic,90000.0,30.0,61.4,Diesel,2.1,27324.0,11.0
Automatic,23000.0,145.0,61.4,Diesel,2.1,36708.0,9.0
Automatic,78000.0,145.0,53.3,Diesel,2.143,18381.600000000002,12.0
Automatic,47000.0,145.0,53.3,Diesel,2.143,22061.600000000002,11.0
Automatic,18000.0,145.0,58.9,Diesel,2.143,38621.6,9.0
Automatic,64000.0,30.0,64.2,Diesel,2.143,26661.600000000002,11.0
Automatic,50000.0,145.0,54.3,Diesel,2.143,19301.600000000002,13.0
Automatic,65000.0,30.0,64.2,Diesel,2.143,29421.600000000002,10.0
Automatic,38000.0,30.0,64.2,Diesel,2.1,32844.0,10.0
Automatic,70000.0,30.0,64.2,Diesel,2.1,30268.0,10.0
Automatic,69000.0,145.0,54.3,Diesel,2.1,20884.0,13.0
Automatic,41000.0,160.0,44.8,Petrol,1.6,23736.0,12.0
Automatic,16250.0,150.0,46.3,Petrol,1.5,47840.0,8.0
Automatic,38000.0,0.0,134.5,Hybrid,2.0,34958.16,9.0
Automatic,120000.0,205.0,45.6,Diesel,2.145,7991.120000000001,17.0
Automatic,51936.0,30.0,64.2,Diesel,2.143,30360.0,10.0
Automatic,4000.0,145.0,56.5,Diesel,1.95,51060.0,7.0
Automatic,8500.0,145.0,54.3,Diesel,1.95,53268.0,7.0
Automatic,119168.0,300.0,33.6,Petrol,1.796,6430.8,19.0
Automatic,19999.0,145.0,28.5,Petrol,3.982,82781.6,7.0
Automatic,1600.0,150.0,28.5,Petrol,3.982,101181.6,7.0
Automatic,46221.0,20.0,64.2,Diesel,2.143,29430.800000000003,11.0
Semi-Auto,52712.0,20.0,64.2,Diesel,2.1,23916.32,12.0
Semi-Auto,59858.0,145.0,64.2,Diesel,2.1,33116.32,9.0
Manual,22.0,145.0,48.7,Petrol,1.6,53356.32,7.0
Semi-Auto,28234.0,160.0,43.5,Petrol,2.0,45996.32,9.0
Semi-Auto,22803.0,30.0,61.4,Diesel,2.1,35876.32,10.0
Semi-Auto,17093.0,145.0,67.3,Diesel,2.1,43236.32,8.0
Semi-Auto,8150.0,145.0,60.1,Diesel,1.6,46916.32,7.0
Semi-Auto,9344.0,145.0,55.4,Diesel,2.0,45996.32,7.0
Semi-Auto,31891.0,0.0,134.5,Hybrid,2.0,34036.32,10.0
Semi-Auto,36243.0,30.0,64.2,Diesel,2.1,28516.32,12.0
Semi-Auto,33000.0,145.0,58.9,Diesel,2.1,38630.8,9.0
Semi-Auto,11300.0,150.0,36.2,Petrol,3.0,58870.8,8.0
Semi-Auto,32800.0,30.0,65.7,Diesel,2.1,44150.8,9.0
Automatic,37600.0,30.0,64.2,Diesel,2.1,31270.800000000003,12.0
Automatic,14000.0,145.0,47.1,Petrol,2.0,45990.8,9.0
Semi-Auto,24175.0,570.0,23.5,Petrol,6.2,49676.32,12.0
Semi-Auto,27968.0,125.0,60.1,Diesel,2.1,37716.32,10.0
Semi-Auto,9255.0,145.0,57.7,Diesel,2.0,50596.32,8.0
Semi-Auto,26973.0,30.0,65.7,Diesel,1.6,31276.32,10.0
Semi-Auto,12491.0,145.0,65.7,Diesel,2.1,50596.32,8.0
Semi-Auto,14999.0,145.0,55.4,Diesel,2.0,50964.32,7.0
Semi-Auto,37941.0,260.0,35.8,Petrol,3.0,50596.32,10.0
Semi-Auto,11301.0,145.0,61.4,Diesel,2.0,59796.32,7.0
Semi-Auto,12629.0,145.0,61.4,Diesel,2.1,45076.32,7.0
Semi-Auto,20981.0,30.0,64.2,Diesel,2.1,39556.32,9.0
Semi-Auto,23760.0,30.0,64.2,Diesel,2.1,34956.32,9.0
Semi-Auto,26216.0,30.0,64.2,Diesel,2.1,29436.32,12.0
Semi-Auto,80485.0,145.0,54.3,Diesel,2.1,17108.32,13.0
Semi-Auto,18739.0,150.0,60.1,Diesel,2.1,42316.32,8.0
Manual,53453.0,20.0,70.6,Diesel,2.1,23916.32,10.0
Semi-Auto,23090.0,30.0,65.7,Diesel,2.1,42316.32,10.0
Manual,26100.0,20.0,68.9,Diesel,2.1,33116.32,10.0
Semi-Auto,4285.0,145.0,61.4,Diesel,2.0,52436.32,7.0
Semi-Auto,28388.0,30.0,64.2,Diesel,1.6,34956.32,10.0
Semi-Auto,16902.0,145.0,60.1,Diesel,2.1,38636.32,9.0
Semi-Auto,31227.0,30.0,65.7,Diesel,2.1,40476.32,10.0
Manual,24010.0,20.0,72.4,Diesel,1.6,25756.32,11.0
Semi-Auto,15838.0,145.0,61.4,Diesel,2.0,45076.32,7.0
Semi-Auto,17657.0,145.0,74.3,Hybrid,2.1,38636.32,9.0
